income,week,enough_of_the_kinds_of_food_wanted_ratio
"$35,000 - $49,999",5,0.7997585260423338
"$35,000 - $49,999",6,0.8448530905796419
"$35,000 - $49,999",7,0.8915432117932205
"$35,000 - $49,999",8,0.8922487320570944
"$35,000 - $49,999",9,0.840928457305166
"$35,000 - $49,999",10,0.8549858292960578
"$35,000 - $49,999",11,0.883350274764129
"$35,000 - $49,999",12,0.7454625549723289
"$35,000 - $49,999",18,0.8369045462543001
"$35,000 - $49,999",19,0.8466248188602231
"$35,000 - $49,999",20,0.8467884020609145
"$35,000 - $49,999",21,0.7965192288462618
"$35,000 - $49,999",28,0.867252364742814
"$35,000 - $49,999",29,0.8765082453729561
"$35,000 - $49,999",30,0.8836463681986905
"$35,000 - $49,999",31,0.9307019138464391
"$35,000 - $49,999",32,0.8557203286334861
"$35,000 - $49,999",33,0.9026030997719415
"$50,000 - $74,999",1,0.9315172781163682
"$50,000 - $74,999",2,0.9414189790216068
"$50,000 - $74,999",3,0.9289793818772374
"$50,000 - $74,999",4,0.8868850616343403
"$50,000 - $74,999",5,0.9114458626236063
"$50,000 - $74,999",6,0.9323421394784172
"$50,000 - $74,999",7,0.9152511467505774
"$50,000 - $74,999",8,0.9059809565089044
"$50,000 - $74,999",9,0.8839503903225054
"$50,000 - $74,999",10,0.9210088876617445
"$50,000 - $74,999",11,0.8686245040125544
"$50,000 - $74,999",12,0.8886526678642905
"$50,000 - $74,999",18,0.8883929283756142
"$50,000 - $74,999",19,0.8956256002931958
"$50,000 - $74,999",20,0.8423085549714157
"$50,000 - $74,999",21,0.9140726775579536
"$50,000 - $74,999",28,0.9326894999859122
"$50,000 - $74,999",29,0.9097661056394096
"$50,000 - $74,999",30,0.9458660643084729
"$50,000 - $74,999",31,0.9076942683298405
"$50,000 - $74,999",32,0.9450882984194268
"$50,000 - $74,999",33,0.9446814576923814
"$75,000 - $99,999",1,0.9604786606778857
"$75,000 - $99,999",2,0.8462638865375298
"$75,000 - $99,999",3,0.9238615969262913
"$75,000 - $99,999",4,0.9708253265785438
"$75,000 - $99,999",5,0.9639433876965188
"$75,000 - $99,999",6,0.9610538574093246
"$75,000 - $99,999",7,0.9589904081137681
"$75,000 - $99,999",8,0.95315866137702
"$75,000 - $99,999",9,0.886755129389772
"$75,000 - $99,999",10,0.9633445473376042
"$75,000 - $99,999",11,0.9473953879940229
"$75,000 - $99,999",12,0.9604474329795364
"$75,000 - $99,999",18,0.9572617342575275
"$75,000 - $99,999",19,0.925933558352437
"$75,000 - $99,999",20,0.9294310973202728
"$75,000 - $99,999",21,0.9690104430700598
"$75,000 - $99,999",28,0.9789496298193548
"$75,000 - $99,999",29,0.9663296567998769
"$75,000 - $99,999",30,0.9446472138953604
"$75,000 - $99,999",31,0.9896404094704594
"$75,000 - $99,999",32,0.946048793571676
"$75,000 - $99,999",33,0.9216697131731363
Did not report,1,0.8635261177296815
Did not report,2,0.5912304869300453
Did not report,3,0.7686328923398947
Did not report,4,0.7098059680160919
Did not report,5,0.7535416545314283
Did not report,6,0.8067103298128367
Did not report,7,0.7579831282130693
Did not report,8,0.7424810977456054
Did not report,9,0.7056440659920624
Did not report,10,0.7232220357618193
Did not report,11,0.6832034466241228
Did not report,12,0.6204616136627916
Did not report,18,0.4076146076146076
Did not report,19,0.4713927880450152
Did not report,20,0.47449406940213124
Did not report,21,0.43679791887038616
Did not report,28,0.48541255446617854
Did not report,29,0.45692611916015524
Did not report,30,0.45932706816799346
Did not report,31,0.4897871541278018
Did not report,32,0.4718704717026371
Did not report,33,0.40682880770138663
"Less than $25,000",1,0.7560433249829716
"Less than $25,000",2,0.7106153694614907
"Less than $25,000",3,0.7841275549925169
"Less than $25,000",4,0.7339201638614963
"Less than $25,000",5,0.6957781056106356
"Less than $25,000",6,0.713538623966215
"Less than $25,000",7,0.6989576537505237
"Less than $25,000",8,0.7320904996542419
"Less than $25,000",9,0.6414491429357061
"Less than $25,000",10,0.7347478449890666
"Less than $25,000",11,0.6926652546689063
"Less than $25,000",12,0.7075324003944751
"Less than $25,000",18,0.6530917676256349
"Less than $25,000",19,0.763050365968337
"Less than $25,000",20,0.7301645044438252
"Less than $25,000",21,0.5467913031453037
"Less than $25,000",28,0.8402324806630417
"Less than $25,000",29,0.7317359713790424
"Less than $25,000",30,0.7214130416413479
"Less than $25,000",31,0.6900422794756517
"Less than $25,000",32,0.6553785206804899
"Less than $25,000",33,0.7766842550296228
